benchmark,task_name,method,timing_mode,do_not_start_rule,charged_e2e_p95_ms_down,charged_e2e_p99_ms_down,charged_e2e_max_ms_down,charged_loop_overrun_rate_down,charged_e2e_overrun_rate_down,actual_cpu_loop_p95_ms_down,actual_cpu_e2e_p95_ms_down,actual_cpu_e2e_p99_ms_down,actual_cpu_e2e_max_ms_down,actual_cpu_loop_overrun_rate_down,actual_cpu_e2e_overrun_rate_down,mean_unused_charged_loop_budget_ms_context,intervals
gymnasium-toy-text,gym-frozenlake-4x4,greedy-improvement,simulated_charged,strict_delta_max,22.982480042052288,23.306393387632998,23.68786425345292,0.0,0.0,90.43271999835271,92.43271999835271,107.74623600434282,114.38399999274408,1.0,1.0,2.5966391371558797,120
gymnasium-toy-text,gym-frozenlake-4x4,no-handshake,simulated_charged,strict_delta_max,22.973034672453757,23.203192195028443,23.49030536300757,0.0,0.0,81.48377999896184,83.48377999896184,90.46988300079829,91.12930000224152,1.0,1.0,2.644207542731658,120
gymnasium-toy-text,gym-frozenlake-4x4,no-non-starvation,simulated_charged,strict_delta_max,23.01515639268833,23.594373256100774,23.786616572504368,0.0,0.0,94.69960500355228,96.69960500355228,105.30642400163923,129.23769999865908,1.0,1.0,2.5897991202794914,120
gymnasium-toy-text,gym-frozenlake-4x4,robust-DLGPR,simulated_charged,strict_delta_max,22.975989259350072,23.583424533146125,23.70595623078291,0.0,0.0,194.44169499838608,196.44169499838608,213.63726799990397,232.8227000030456,1.0,1.0,2.5404898484373017,120
gymnasium-toy-text,gym-frozenlake-4x4,robust-near-elite-DLGPR,simulated_charged,strict_delta_max,22.962465587480786,23.395387457950434,23.68786425345292,0.0,0.0,166.89398500602692,168.89398500602692,177.96199999228702,196.53559999237768,1.0,1.0,2.6991163122049064,120
gymnasium-toy-text,gym-frozenlake-4x4,round-robin,simulated_charged,strict_delta_max,23.22549147652725,23.747691345709207,23.85975310197241,0.0,0.0,94.45755500055384,96.45755500055384,104.61990900224193,109.22839999652932,1.0,1.0,2.6540546740653896,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,DLGPR-full,simulated_charged,strict_delta_max,23.376037660455488,23.67784565990207,23.77272206246069,0.0,0.0,147.60226500147837,149.60226500147837,162.07626700768014,166.951699989615,1.0,1.0,2.4972655604912766,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,fixed-split,simulated_charged,strict_delta_max,22.937089835724112,23.234235631162004,23.556452109850067,0.0,0.0,175.94109500059858,177.94109500059858,184.87754800257972,194.5247000035597,1.0,1.0,2.6869414670339906,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,greedy-improvement,simulated_charged,strict_delta_max,22.982480042052288,23.306393387632998,23.68786425345292,0.0,0.0,141.80949000729015,143.80949000729015,154.89464999877967,172.00119999283925,1.0,1.0,2.5966391371558797,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,no-handshake,simulated_charged,strict_delta_max,22.95436426891293,23.256612169276888,23.608281712517723,0.0,0.0,133.85432500072056,135.85432500072056,147.64660400443245,154.8876000083983,1.0,1.0,2.5466460747637276,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,no-non-starvation,simulated_charged,strict_delta_max,23.19580917071046,23.727956693122948,23.759103899167705,0.0,0.0,183.86249499671973,185.86249499671973,197.57923700544055,201.9498999939533,1.0,1.0,2.566315413092439,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,robust-DLGPR,simulated_charged,strict_delta_max,23.376037660455488,23.67784565990207,23.77272206246069,0.0,0.0,307.31112999565084,309.31112999565084,341.1918310067558,343.0302999982377,1.0,1.0,2.4972655604912766,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,robust-near-elite-DLGPR,simulated_charged,strict_delta_max,23.19580917071046,23.727956693122948,23.759103899167705,0.0,0.0,425.03475500634516,427.03475500634516,459.2790230007377,480.0585999978939,1.0,1.0,2.566315413092439,120
gymnasium-toy-text,gym-frozenlake-4x4-deterministic,round-robin,simulated_charged,strict_delta_max,22.937089835724112,23.234235631162004,23.556452109850067,0.0,0.0,177.75807498765062,179.75807498765062,190.12015099043495,193.0829999978887,1.0,1.0,2.6869414670339906,120
gymnasium-toy-text-card,gym-blackjack,DLGPR-full,simulated_charged,strict_delta_max,23.117589754232373,23.81925782650246,23.97709185168186,0.0,0.0,55.41854999610223,57.41854999610223,76.58734499698042,83.58939999702852,1.0,1.0,2.5139927236011483,120
gymnasium-toy-text-card,gym-blackjack,fixed-split,simulated_charged,strict_delta_max,23.057948619369164,23.712345951778424,23.83617957243821,0.0,0.0,49.45309501126758,51.45309501126758,56.08469800968305,57.01389999699313,1.0,1.0,2.710975210449157,120
gymnasium-toy-text-card,gym-blackjack,greedy-improvement,simulated_charged,strict_delta_max,23.114784896813365,23.810693738214585,23.852620155191627,0.0,0.0,38.072965002356796,40.072965002356796,43.20025799347786,44.62910000397824,1.0,1.0,2.5623340465778437,120
gymnasium-toy-text-card,gym-blackjack,no-handshake,simulated_charged,strict_delta_max,23.05128100010703,23.48308291129307,23.55239812047633,0.0,0.0,35.62678001035238,37.626780010352384,40.66605600618641,44.73479999392293,0.9416666666666667,0.9416666666666667,2.6603810116418107,120
gymnasium-toy-text-card,gym-blackjack,no-non-starvation,simulated_charged,strict_delta_max,23.057624979500055,23.570734539722597,23.64141927763784,0.0,0.0,58.46699000830995,60.46699000830995,66.26888800415327,68.04999999399297,0.9916666666666667,0.9916666666666667,2.612220544975792,120
gymnasium-toy-text-card,gym-blackjack,robust-DLGPR,simulated_charged,strict_delta_max,22.86019679112234,23.33352267282543,23.89827574772618,0.0,0.0,120.5971249997674,122.5971249997674,142.30887300075847,184.77740001212808,1.0,1.0,2.6299877410094052,120
gymnasium-toy-text-card,gym-blackjack,robust-near-elite-DLGPR,simulated_charged,strict_delta_max,23.06002890351787,23.57803006979265,23.64141927763784,0.0,0.0,107.00221500082986,109.00221500082986,152.25953600823414,162.77209998911712,1.0,1.0,2.6834359422561898,120
gymnasium-toy-text-card,gym-blackjack,round-robin,simulated_charged,strict_delta_max,23.057948619369164,23.712345951778424,23.83617957243821,0.0,0.0,47.289965000527445,49.289965000527445,51.53560099427705,56.428900009952486,1.0,1.0,2.710975210449157,120
